,countryname,year,rile,stance_positivity_score,gini Coefficient,leading,welfare spending,electoral_dem_ind,GNI
0,Sweden,2006,-8.132,34.3,0.26352492,left,26.408,0.915,434074299964.761
7,Sweden,2010,-4.296375000000001,34.593625,0.2773816,left,25.849,0.915,509281261515.021
15,Sweden,2014,-15.75475,54.50025,0.28389722,left,26.587,0.916,594247305519.704
23,Sweden,2018,-10.283625,58.764,0.2997419,left,25.633,0.909,566553766256.078
31,Norway,2005,-15.257285714285715,37.567142857142855,0.3059756,left,20.737,0.892,313371051610.4
38,Norway,2009,-17.793714285714284,41.68657142857143,0.2615837,left,22.519,0.897,390179062703.751
45,Norway,2013,-15.1395,64.1775,0.26361203,left,21.918,0.885,531585021276.596
53,Norway,2017,-15.352666666666668,60.14244444444445,0.2698733,left,25.129,0.891,416379568809.188
62,Denmark,2005,-9.866111111111111,25.066444444444446,0.2518689,left,25.195,0.919,266599076189.365
71,Denmark,2007,-13.78075,23.181375,0.26184258,left,25.912,0.92,321027058801.918
79,Denmark,2011,2.790875,27.971,0.27311745,left,30.022,0.919,351257091701.648
87,Denmark,2015,-1.2155555555555553,53.29388888888889,0.28177446,right,29.975,0.921,311964189253.733
96,Denmark,2019,-11.3393,47.377500000000005,0.27723646,left,28.436,0.914,356539625739.249
106,Finland,2007,-22.83725,44.947875,0.28285572,left,22.869,0.884,257127719239.609
114,Finland,2011,-15.77375,43.0265,0.2764282,left,27.071,0.885,276659458249.028
122,Finland,2015,-18.0705,53.636624999999995,0.2710204,left,30.528,0.866,236841059684.375
130,Finland,2019,-21.470333333333333,48.48866666666667,0.27737328,left,29.419,0.876,269899706941.176
139,Iceland,2007,-11.876000000000001,44.0516,0.2947096,left,15.825,0.877,20256382258.9962
144,Iceland,2009,4.2774,43.316199999999995,0.2865641,left,18.491,0.885,10553993507.6805
149,Iceland,2013,-15.668166666666666,36.090833333333336,0.25402915,left,17.325,0.865,15287504221.781
155,Iceland,2016,-14.738857142857142,52.25671428571429,0.27241105,left,16.491,0.865,19826589745.4317
162,Iceland,2017,-25.977,40.617555555555555,0.2613158,left,17.496,0.865,23965940755.6076
171,Belgium,2007,-3.1966923076923073,39.68830769230769,0.29237974,left,24.339,0.892,477472767241.296
184,Belgium,2010,1.487727272727273,33.41827272727273,0.2837519,left,27.666,0.898,488810029890.001
195,Belgium,2014,-7.9816666666666665,58.26058333333333,0.28134146,left,28.394,0.903,546624135613.253
