,index,rile,stance_positivity_score,welfare spending,electoral_dem_ind,GNI,leading,variable_interaction,index,gini Coefficient
0,0,0.4491002894173903,0.2909109894341148,0.7359677165766995,0.974683544303798,0.11116865255520156,0.0,0.8040459329357117,0,0.26352492
1,1,0.5456304265760664,0.2972984878841472,0.7066715580944396,0.974683544303798,0.13090951610021914,0.0,0.8165915781298859,1,0.2773816
2,2,0.25726060148483715,0.7303458657738852,0.7453487762695875,0.9789029535864981,0.15321201371588844,0.0,0.6990582532626354,2,0.28389722
3,3,0.3949509248773122,0.823099195757113,0.695351396677323,0.9493670886075951,0.1459428145830864,0.0,0.7482207167628039,3,0.2997419
4,4,0.2697801506408528,0.3619841948356785,0.43876107122268215,0.8776371308016881,0.07948559681027005,0.0,0.7996606217587283,4,0.3059756
5,5,0.20594653867587062,0.4515979661937672,0.5321524029138933,0.89873417721519,0.09964671534109569,0.0,0.7717724590373529,5,0.2615837
6,6,0.27274443186107966,0.9408641097094325,0.5006551019338608,0.8481012658227849,0.1367639671898282,0.0,0.7256635122962989,6,0.26361203
7,7,0.2673797240048656,0.8530857832491334,0.6689376867040513,0.8734177215189871,0.10652401240477483,0.0,0.7412513251767839,7,0.2698733
8,8,0.4054583840163304,0.09004484452343534,0.6723966249148366,0.9915611814345997,0.06720855269779749,0.0,0.819505286688348,8,0.2518689
9,9,0.30693972568264766,0.049037170944577484,0.7099732718410985,0.9957805907172999,0.08149520057768761,0.0,0.809358857811585,9,0.26184258
10,10,0.7239933308166604,0.15323035021656037,0.9253707876945652,0.9915611814345997,0.0894301967819439,0.0,0.8447351208052737,10,0.27311745
11,11,0.6231645764299596,0.7041027675111299,0.9229076044232483,1.0,0.07911631347217074,1.0,0.830209699746746,11,0.28177446
12,12,0.3683830376242608,0.5753980425811476,0.8422514543262932,0.970464135021097,0.09081679426519021,0.0,0.7813624034981871,12,0.27723646
13,13,0.0790172392097647,0.5225441441676618,0.5504952570619988,0.8438818565400847,0.06472244288459443,0.0,0.7774115911327397,13,0.28285572
14,14,0.25678243362275077,0.4807466819814351,0.770714323148682,0.8481012658227849,0.0698492740533309,0.0,0.7866648264779638,14,0.2764282
15,15,0.19898074745186872,0.7115586257605717,0.9518893139772547,0.7679324894514767,0.05939745474773868,0.0,0.769311507198398,15,0.2710204
16,16,0.11341806132293117,0.5995702873186898,0.893768670405115,0.8101265822784809,0.06807492596884696,0.0,0.7563556871611168,16,0.27737328
17,17,0.3548760538568014,0.5030466382560306,0.18133221529269958,0.8143459915611815,0.0025467527001797165,0.0,0.8347498005346659,17,0.2947096
18,18,0.7614043035107587,0.4870487962461412,0.3210523557465541,0.8481012658227849,0.0,0.0,0.8367286612684308,18,0.2865641
19,19,0.2594396208212743,0.3298686570064703,0.25994444735600863,0.7637130801687761,0.0012424858971797363,0.0,0.8349434418038556,19,0.25402915
20,20,0.28282730230635106,0.681540141133299,0.21623604632880875,0.7637130801687761,0.0024339376736442174,0.0,0.8339679199833258,20,0.27241105
21,21,0.0,0.4283426669789565,0.26890624181122574,0.7637130801687761,0.0035204642633696157,0.0,0.832146083321179,21,0.2613158
22,22,0.5733058435210191,0.40812787162368497,0.6275352444840416,0.8776371308016881,0.12256019401504968,0.0,0.821841846097504,22,0.29237974
23,23,0.6911973643570473,0.27172995380058007,0.8018971752004612,0.9029535864978901,0.12553608016054352,0.0,0.8430469790400661,23,0.2837519
24,24,0.45288368776477506,0.8121479035372619,0.8400503118285205,0.924050632911392,0.14071154196001032,0.0,0.764355038785597,24,0.28134146
25,25,0.36085135450933875,0.9726761283842514,0.830826476599759,0.9113924050632913,0.13924825032680238,0.0,0.7203759544560956,25,0.27219802
26,26,0.8648747955203222,0.3744569674582922,0.2129343325821498,0.7763713080168777,0.1885085619343498,1.0,0.8731143635328901,26,0.30043328
27,27,0.8516219957216561,0.3693165131926723,0.2671767727058332,0.8101265822784809,0.21768291212627056,1.0,0.8786851684648422,27,0.2784525
28,28,0.7501973300387798,0.2530789230695906,0.29128452387191445,0.8101265822784809,0.2149845928233471,1.0,0.8543343090648337,28,0.2762093
29,29,0.5634617804493229,0.7457070705802992,0.22451653477281072,0.822784810126582,0.21359407229812347,1.0,0.8099716740727531,29,0.2853582
30,30,0.17426282454595032,0.3215151469006809,0.5329909333892354,0.8185654008438819,0.006347506054823005,0.0,0.8312082352206253,30,0.3119692
31,31,0.2558911119500022,0.28927581883615006,0.4467271107384308,0.827004219409283,0.009508767311321744,0.0,0.8312335536735502,31,0.32036045
32,32,0.29012205863848,0.3681592039800994,0.8318222315392275,0.8354430379746836,0.7094731962578094,0.0,0.4279576074580962,32,0.32427728
33,33,0.07621744054360138,0.48446225366390594,0.9859022063833134,0.8818565400843883,0.7170612570253743,0.0,0.0,33,0.3311486
34,34,0.4440342267522336,1.0,1.0,0.8776371308016881,0.6938195711221883,1.0,0.37781370961774136,34,0.31632066
35,35,0.8909599626940243,0.388470978782366,0.6189927152664955,0.7257383966244726,0.510992223817665,0.0,1.0,35,0.33697397
36,36,0.6556486724550145,0.6263914359118268,0.658718096535821,0.7341772151898733,0.6236925240144787,0.0,0.8384846976963014,36,0.33770102
37,37,0.5865435432819351,0.3809839839181544,0.8125884387610713,0.751054852320675,0.5584829943810926,0.0,0.7780990160569983,37,0.3491185
38,38,0.6302160906917419,0.573474797179187,0.7940359519941302,0.7763713080168777,0.5524006481730502,0.0,0.8116835890081024,38,0.35222572
39,39,0.4203690357710744,0.36278993789647784,0.5220376290550811,0.8481012658227849,0.41368248745053765,0.0,0.715571504767459,39,0.34221572
40,40,0.1509771466736359,0.3019435800045214,0.6905298464441066,0.8818565400843883,0.3790385066971475,0.0,0.581441117516203,40,0.35698605
41,41,0.059877457385951176,0.5680159292334532,0.6468214454169069,0.7341772151898733,0.3111365646268751,0.0,0.5254162669442427,41,0.3618141999999999
42,42,0.09139394643358413,0.5754992820365564,0.6226088779414076,0.7046413502109703,0.3218231219174013,0.0,0.5378580383363986,42,0.35759893
43,43,0.23419290732134881,0.7694134907237854,0.6436769561343744,0.8016877637130801,0.36386820316337287,0.0,0.5243163451359525,43,0.34305838
44,44,0.2844041776771109,0.33063367030174884,0.40721136208794095,0.9029535864978901,0.0787809683991927,0.0,0.8034621844019728,44,0.33953574
45,45,1.0,0.0,0.605156962423353,0.9198312236286919,0.08226349926246831,0.0,0.8586057837051579,45,0.33619058
46,46,0.783222180277673,0.47446342112495365,0.7893192180703317,0.9156118143459917,0.061290875945206755,1.0,0.8510269973805693,46,0.36251
47,47,0.3859550289901366,0.29668857799533405,0.6997012735181595,0.827004219409283,0.04855231846333418,0.0,0.8183905671439996,47,0.3600026
48,48,0.449380718689892,0.6655696469243513,0.6664745034327342,0.7763713080168777,0.05062168834369014,1.0,0.8158997205973352,48,0.33104455
49,49,0.5315968289920725,0.327986941839411,0.6217703474660657,0.8565400843881854,0.06052751619197967,1.0,0.826366387991506,50,0.34907416
50,50,0.2982089677446417,0.6315376912261313,0.6056810439704419,0.8649789029535866,0.048164160614283344,0.0,0.8041894684922445,51,0.36344677
51,51,0.4224537561343904,0.8047976122883613,0.5228237513757141,0.8396624472573837,0.05858684488908152,0.0,0.8092479063125617,52,0.3552329999999999
52,52,0.6471423178557946,0.30860998897075603,0.7346575127089776,0.89873417721519,0.7506647372374721,0.0,0.8294481811452211,53,0.32762748
53,53,0.43535422171888766,0.4008292599094601,0.7569309784602484,0.9198312236286919,0.9128309693852271,1.0,0.5180607596377,54,0.3158797
54,54,0.37870894677236694,0.2332568527218364,0.6542109952308578,0.9071729957805903,1.0,0.0,0.5101807878613613,55,0.30479428
55,55,0.3867371335095005,0.8128458422071247,0.6745977674126094,0.8818565400843883,0.9891134432469703,1.0,0.25433513606253355,56,0.31473666
56,56,0.42207625519063796,0.49058163489504786,0.7178869032021382,0.7637130801687761,0.08570508693776425,0.0,0.8027646578927644,57,0.31851348
57,57,0.41928610377081504,0.4961049583738501,0.7118075572559089,0.8016877637130801,0.11158375322523478,0.0,0.7918926186979891,58,0.29587582
58,58,0.40803657564699475,0.5455298931664373,0.8210261516691997,0.8059071729957803,0.11045391477670681,0.0,0.7838613377289114,59,0.30437386
59,59,0.5107336101673589,0.7280490130603358,0.8102824799538808,0.713080168776371,0.10572843452359414,1.0,0.8028606088773149,60,0.30753133
60,60,0.3196778658613314,0.8849717307646289,0.8040983176982337,0.751054852320675,0.11359634419535906,1.0,0.7406833212768993,61,0.29737586
61,61,0.7975817060754773,0.20672722565967327,0.10497353388187206,0.8691983122362867,0.12656189886295066,1.0,0.8484832655173369,62,0.30211553
62,62,0.3595042154272053,0.09617374035336691,0.14658560872071708,0.9113924050632913,0.18623064126447783,1.0,0.804195805193489,63,0.34255534
63,63,0.5795444821945388,0.5027725387056844,0.19469629474346198,0.928270042194093,0.18126832585733416,1.0,0.8217492426391627,64,0.3171362
64,64,0.7767123862254101,0.2501296171815459,0.3551176563073214,0.7552742616033754,0.6717115299034644,0.0,0.9106816554835022,65,0.32306957
65,65,0.3404372147294006,0.3710465441208316,0.4671662910748913,0.7299578059071727,0.7490185710710514,0.0,0.5634402894856245,67,0.35485032
66,66,0.32237462075136675,0.7216098490204567,0.4112467900005241,0.759493670886076,0.6931646890551446,0.0,0.4719122042063832,68,0.337056
67,67,0.28144457027809244,0.6336441970297177,0.3746134898590221,0.7299578059071727,0.7449323636097936,1.0,0.44658162866774537,69,0.33311963
68,68,0.32025082840484886,0.4330910670376436,0.22960012577957128,0.8945147679324899,0.058519512727639625,0.0,0.8154243613785281,70,0.32609162
69,69,0.35440507648888175,0.04309329733368256,0.5727687228132697,0.9071729957805903,0.048342246993018485,1.0,0.8240964524798834,71,0.32825133
70,70,0.06684786711966792,0.40134265271804503,0.14490854777003306,0.8776371308016881,0.06111405628398471,0.0,0.8030438272462217,72,0.31946772
71,71,0.44683528375487613,0.6301381882309773,0.0,0.7974683544303796,0.002664953532297648,0.0,0.8353617752206983,73,0.32874694
72,72,0.5670190008808355,0.6865751406210455,0.20004192652376707,0.8481012658227849,0.0030118814588983374,1.0,0.8357444078964279,74,0.32807598
73,73,0.7233169749591041,0.3037784405475899,0.37802001991509876,0.8734177215189871,0.12998709013466395,0.0,0.8457773833305158,92,0.31180158
74,74,0.5012924913264665,0.8714395416259946,0.41161364708348636,0.8059071729957803,0.11777821328450316,1.0,0.8032028872533276,93,0.32491633
75,75,0.5311294468712363,0.9399830754404626,0.462292332686966,0.0,0.1471516577492522,1.0,0.8077918586704494,94,0.3267033
76,76,0.5518654838303764,0.565698507897765,0.39384728263717844,0.611814345991561,0.011487858291093903,0.0,0.8344953791971605,95,0.30767542
77,77,0.6646080281867371,0.409746196868739,0.5804727215554739,0.7679324894514767,0.010586005034568267,1.0,0.836570752716297,96,0.28958917
78,78,0.5356414819608478,0.8709516319955597,0.5620250510979509,0.7763713080168777,0.010232891204836067,0.0,0.8332360088099965,97,0.29444227
79,79,0.49217734155446496,0.9963040068568393,0.46957706619149947,0.6244725738396621,0.011239211487116063,1.0,0.831892123190985,98,0.30917662
