country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm,year,Gini coefficient,welfare spending,electoral_dem_ind,GNI
11,Sweden,10,10.0,2006-09-17,200609,11110,Green Ecology Party,MP,10,,277,3,2010.0,0.665,,5.244,0.0,,19.0,349.0,1,40,2023-1,198.0,0.505,0.0,0.0,0.0,0.0,1.01,0.505,2.02,0.0,0.0,1.01,6.566,1.515,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,3.535,1.01,0.0,1.01,0.0,0.0,1.01,0.0,0.0,5.556,3.535,0.0,0.0,0.0,0.0,17.172,3.535,13.131,16.667,0.0,2.02,0.0,0.0,0.0,0.0,0.0,4.04,3.03,0.0,0.0,0.505,0.0,2.02,0.0,0.0,6.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.616,4.545,0.0,29.798,1.515,2023a,4REHJD,2006,0.26352492,,0.915,434074299964.761
11,Sweden,10,10.0,2006-09-17,200609,11220,Left Party,V,20,,277,3,2010.0,0.665,,5.85,0.0,,22.0,349.0,1,40,2023-1,389.0,0.0,0.0,0.0,2.057,0.0,0.514,0.514,1.799,0.0,0.0,2.314,2.571,2.314,0.0,0.0,1.028,0.0,0.0,0.0,3.342,0.0,0.514,0.257,1.028,0.257,0.257,0.0,7.455,0.257,1.542,4.627,10.797,2.314,0.0,0.257,0.0,5.398,0.771,13.111,11.568,0.0,2.828,0.0,0.0,0.0,0.257,0.0,1.799,1.285,1.028,0.0,9.512,0.0,0.0,0.0,2.828,3.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.99,12.082,0.0,24.679,1.028,2023a,PNMPGP,2006,0.26352492,,0.915,434074299964.761
11,Sweden,10,10.0,2006-09-17,200609,11320,Social Democratic Labour Party,SAP,30,,277,3,2010.0,0.665,,34.994,0.0,,130.0,349.0,1,40,2023-1,393.0,0.0,0.0,0.0,0.254,1.018,0.254,1.527,2.29,1.018,0.0,0.0,1.781,0.254,0.0,0.0,1.018,0.0,0.0,0.0,2.036,0.509,1.018,0.0,0.254,0.254,0.0,0.254,3.562,0.0,2.29,7.379,3.817,1.272,1.018,0.0,0.0,5.089,3.308,5.852,23.664,0.0,6.616,0.0,2.799,0.0,0.254,0.0,3.308,3.053,0.509,0.254,1.018,0.0,0.254,0.0,3.053,7.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.173,4.071,1.527,29.517,1.781,2023a,K3SXQ7,2006,0.26352492,,0.915,434074299964.761
11,Sweden,10,10.0,2006-09-17,200609,11420,Liberal People’s Party,FP,40,,277,3,2010.0,0.665,,7.537,0.0,,28.0,349.0,1,40,2023-1,605.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.661,0.661,0.0,0.0,3.967,0.496,0.0,0.0,0.165,0.331,0.165,1.157,9.091,3.471,4.628,0.661,0.661,0.0,0.0,0.992,4.132,0.0,0.661,4.463,0.661,0.0,0.826,0.0,0.0,4.463,2.975,5.785,10.909,1.983,12.397,0.0,0.992,0.0,0.0,0.165,13.554,0.992,0.331,0.0,0.0,0.661,0.0,0.165,2.479,3.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.545,1.983,4.298,16.694,0.0,2023a,VSD37H,2006,0.26352492,,0.915,434074299964.761
11,Sweden,10,10.0,2006-09-17,200609,11520,Christian Democrats,Kd,50,,277,3,2010.0,0.665,,6.593,0.0,,24.0,349.0,1,40,2023-1,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.419,0.0,0.0,0.0,4.032,0.0,0.0,0.0,1.613,0.0,0.0,0.0,0.0,5.645,6.452,4.839,0.0,0.806,0.0,0.0,4.032,0.0,0.806,1.613,0.0,0.0,0.0,0.0,0.0,7.258,0.0,5.645,15.323,2.419,11.29,0.0,2.419,0.0,7.258,0.0,0.806,7.258,0.0,0.0,1.613,2.419,0.806,0.0,0.806,2.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806,4.839,5.645,20.968,0.0,2023a,H41DX2,2006,0.26352492,,0.915,434074299964.761
11,Sweden,10,10.0,2006-09-17,200609,11620,Moderate Coalition Party,MSP,60,,277,3,2010.0,0.665,,26.23,0.0,,97.0,349.0,2,40,2023-1,858.0,0.0,0.0,0.0,0.0,1.981,0.117,0.466,0.699,3.73,0.0,0.0,6.76,1.049,0.0,0.0,0.466,0.0,0.583,0.35,1.399,1.865,4.545,0.35,1.282,0.0,0.0,0.233,6.061,0.0,1.282,7.343,0.0,0.0,2.331,0.0,0.0,6.76,0.466,3.73,13.52,0.0,8.625,0.0,0.466,0.0,2.098,0.0,8.042,1.865,0.583,0.233,1.515,0.466,0.816,0.0,2.681,5.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.963,1.632,4.196,17.249,0.583,2023a,DOSTIC,2006,0.26352492,,0.915,434074299964.761
11,Sweden,10,10.0,2006-09-17,200609,11810,Centre Party,CP,80,,277,3,2010.0,0.665,,7.879,0.0,,29.0,349.0,1,40,2023-1,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,2.866,0.955,0.0,0.0,7.962,1.911,0.0,0.0,4.459,0.0,0.318,0.0,0.955,3.822,5.414,0.0,1.911,0.0,0.0,0.0,5.414,0.637,2.548,3.822,2.229,0.0,0.0,0.0,0.0,14.013,0.0,4.777,14.013,0.637,6.369,0.0,0.955,0.0,1.911,0.0,2.548,2.229,0.0,0.0,1.274,0.637,0.637,0.0,0.0,4.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.459,4.14,3.822,18.79,0.318,2023a,41FLDD,2006,0.26352492,,0.915,434074299964.761
11,Sweden,10,10.0,2010-09-19,201009,11110,Green Ecology Party,MP,10,,277,3,2010.0,0.467,,7.34,0.0,,25.0,349.0,1,51,2023-1,262.0,0.0,0.0,0.0,0.0,0.0,1.908,0.763,0.0,0.0,0.0,0.763,6.107,0.763,0.0,0.0,1.145,0.0,0.0,0.0,1.145,0.0,5.725,1.145,0.382,0.0,0.0,0.0,5.344,0.0,0.0,8.779,0.0,0.0,0.0,0.0,0.0,23.282,3.053,7.634,11.832,0.0,9.924,0.0,0.0,0.0,0.0,0.0,3.053,2.672,0.382,0.0,1.145,0.0,0.382,0.0,1.145,1.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.16,1.527,0.0,19.466,2.672,2023a,EWCYWG,2010,0.2773816,,0.915,509281261515.021
11,Sweden,10,10.0,2010-09-19,201009,11220,Left Party,V,20,,277,3,2010.0,0.467,,5.6,0.0,,19.0,349.0,1,51,2023-1,254.0,0.0,0.0,0.0,0.0,0.0,0.787,0.394,0.394,0.0,0.0,0.0,8.268,1.969,0.0,0.0,0.0,0.0,0.0,0.0,10.236,0.0,0.0,0.0,1.181,0.0,0.0,0.0,3.937,0.0,0.394,1.575,0.0,0.787,0.0,0.0,0.0,12.205,0.787,16.535,16.142,0.0,3.15,0.0,0.394,0.0,0.0,0.394,0.394,6.299,0.394,0.0,12.992,0.0,0.0,0.0,0.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.205,1.181,0.0,32.677,1.181,2023a,A6M62C,2010,0.2773816,,0.915,509281261515.021
11,Sweden,10,10.0,2010-09-19,201009,11320,Social Democratic Labour Party,SAP,30,,277,3,2010.0,0.467,,30.66,0.0,,112.0,349.0,1,51,2023-1,282.0,0.0,0.0,0.0,0.0,0.0,0.355,0.355,0.709,0.0,0.0,0.0,2.482,0.355,0.0,0.0,0.709,0.0,0.0,0.0,6.028,0.0,3.546,1.064,2.128,0.709,0.355,0.0,2.837,0.0,3.901,2.837,0.0,0.0,0.0,0.0,0.0,0.709,1.773,14.184,25.887,0.0,15.248,0.0,0.0,0.0,0.355,0.0,1.418,4.255,0.0,0.0,3.901,0.355,0.0,0.0,1.064,2.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.27,3.191,0.0,40.071,0.709,2023a,MD4SVI,2010,0.2773816,,0.915,509281261515.021
