TIME,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,"79,810.75",,"82,677.84",,"85,923.05",,"92,667.01",,"99,424.76",,"101,947.70",,"107,535.07",,"109,573.14",,"113,134.35",,"115,902.74",,"119,057.73",,"119,252.88",,"121,267.76",,"125,704.62",,"130,662.54",,"143,880.04",,"145,292.86",
Bulgaria,"3,391.16",,"3,662.78",,"4,209.10",,"5,305.67",,"5,828.30",,"6,316.20",,"6,614.03",,"6,749.32",,"7,128.87",,"7,668.14",,"7,850.95",,"8,227.87",,"8,612.53",,"9,205.23",,"9,847.03",,"11,209.95",,"12,995.09",
Czechia,"19,018.72",,"21,033.27",,"23,496.76",,"27,887.95",,"28,884.85",,"30,312.58",,"31,806.85",,"32,081.55",,"30,866.38",,"29,899.41",,"31,004.02",,"32,282.69",,"34,538.99",,"37,784.92",,"41,170.90",,"46,075.56",,"50,575.46",
Denmark,"60,949.99",,"62,238.97",,"68,718.16",b,"70,937.58",,"76,520.27",,"79,906.29",,"80,498.50",,"82,545.91",,"85,437.27",,"87,648.91",,"88,192.35",,"87,958.80",,"90,497.27",,"91,903.51",,"93,911.73",,"98,290.45",,"100,794.70",
Germany,"638,347.11",,"637,291.23",,"647,117.36",,"668,044.53",,"719,032.85",,"735,782.67",,"740,580.88",,"758,220.31",,"785,771.28",,"813,955.05",,"850,632.70",,"889,509.29",,"923,349.79",,"956,245.47",,"1,001,173.17",,"1,072,188.12",,"1,107,776.82",p
Estonia,"1,383.43",,"1,601.78",,"1,922.46",,"2,396.37",,"2,625.89",,"2,561.52",,"2,575.08",,"2,659.29",,"2,775.17",,"2,950.58",,"3,287.22",,"3,553.95",,"3,743.56",,"4,178.28",,"4,522.63",,"5,188.91",,"5,320.09",
Ireland,"28,196.74",,"30,895.88",,"34,080.15",,"37,837.68",,"40,744.57",,"40,811.39",,"40,497.55",,"40,830.70",,"39,759.34",,"40,042.80",,"40,839.83",,"41,611.05",,"43,174.76",,"44,535.59",,"46,877.60",,"55,375.34",,"57,134.16",
Greece,"39,668.85",,"43,881.11",,"48,477.46",,"54,148.75",,"57,856.82",,"57,291.56",,"55,550.34",,"52,740.72",,"46,764.97",,"45,372.66",,"45,740.51",,"45,836.03",,"44,891.20",p,"45,265.75",p,"46,125.44",p,"48,141.54",p,"48,599.79",p
Spain,"182,509.46",,"196,942.26",,"213,812.76",,"234,129.82",,"258,474.73",,"261,066.63",,"266,227.29",,"259,844.89",,"259,735.77",,"258,681.51",,"261,400.23",,"260,942.57",,"267,435.03",,"278,954.16",,"295,325.52",p,"331,073.75",p,"337,656.04",p
France,"510,136.67",,"528,544.51",,"550,479.94",,"570,850.20",,"599,621.54",,"617,426.28",,"635,044.93",,"656,183.89",,"674,450.69",,"689,586.47",,"701,659.73",,"714,462.49",,"727,242.47",,"741,411.27",,"760,858.96",,"813,674.57",,"834,806.07",p
Croatia,:,,:,,:,,"8,779.53",,"9,235.82",,"9,375.08",,"9,222.77",,"9,296.36",,"9,158.79",,"9,300.86",,"9,560.79",,"10,021.76",,"10,426.13",,"11,017.70",,"11,589.85",,"11,970.66",,"12,761.85",
Italy,"360,475.00",,"378,531.00",,"391,895.00",,"412,713.00",,"428,611.00",,"439,612.00",,"444,785.00",,"449,945.00",,"456,590.00",,"464,282.00",,"473,658.00",,"476,045.00",,"483,245.00",,"493,735.00",,"507,808.00",p,"551,780.00",p,"560,355.00",p
Cyprus,"2,443.19",,"2,665.64",,"2,835.49",,"3,185.33",,"3,503.24",,"3,561.41",,"3,783.06",,"3,850.12",,"3,761.53",,"3,438.04",,"3,483.99",,"3,588.87",,"3,635.66",,"3,725.42",,"4,207.53",,"5,297.31",,"5,443.67",
Latvia,"1,611.20",,"2,003.76",,"2,342.66",,"2,898.38",,"3,102.64",,"3,168.03",,"3,019.61",,"3,105.50",,"3,271.80",,"3,364.92",,"3,581.69",,"3,733.07",,"3,916.10",,"4,368.86",,"4,708.27",p,"5,182.69",p,"6,361.12",
Lithuania,"2,687.98",,"3,103.64",,"4,022.28",,"5,057.90",,"5,488.90",,"5,100.70",,"5,078.17",,"5,159.68",,"5,064.60",,"5,286.74",,"5,524.96",,"5,669.21",,"6,092.55",,"7,034.15",,"7,875.73",,"9,498.56",p,"10,183.81",p
Luxembourg,"6,441.23",,"6,786.54",,"6,980.11",,"7,648.08",,"8,342.67",,"8,739.24",,"9,105.27",,"9,718.07",,"10,313.43",,"10,765.06",,"11,016.93",,"11,236.47",,"12,007.45",,"12,646.95",,"13,342.19",,"15,406.89",,"15,591.27",
Hungary,"19,043.30",,"19,708.88",,"22,135.17",,"23,693.43",,"21,017.70",,"21,750.23",,"21,674.00",,"20,966.39",,"20,909.58",,"20,656.13",,"21,074.23",b,"21,515.81",,"22,748.48",,"23,565.37",,"23,939.54",,"24,749.24",,"26,814.49",
Malta,898.97,,946.97,,"1,013.10",,"1,103.28",,"1,193.74",,"1,271.58",,"1,287.68",,"1,365.45",,"1,440.32",,"1,543.57",,"1,621.72",,"1,712.17",,"1,813.75",,"1,902.23",,"2,052.56",,"2,602.70",,"2,724.01",
Netherlands,"132,274.00",,"145,126.00",,"151,386.00",,"159,727.00",,"169,771.00",,"177,354.00",,"183,541.00",,"188,173.00",,"192,142.00",,"193,596.00",,"193,895.00",,"198,479.00",,"203,407.00",,"209,726.00",,"219,000.00",,"233,638.00",,"242,665.00",
Austria,"68,717.64",,"71,506.56",,"74,294.11",,"78,444.15",,"82,605.66",,"85,129.68",,"86,826.75",,"90,179.50",,"93,155.37",,"96,428.15",,"99,864.66",,"103,373.15",,"105,427.83",,"109,112.99",,"113,268.78",,"126,665.37",,"130,312.68",
Poland,"47,778.44",,"52,502.23",,"56,316.53",,"68,969.43",,"62,903.61",,"69,569.23",,"69,336.31",,"71,667.95",,"75,503.34",,"77,586.14",,"81,644.74",,"86,551.53",,"91,579.13",,"95,430.42",,"110,953.44",,"122,365.28",,"129,662.93",
Portugal,"35,308.33",,"37,010.27",,"38,218.54",,"39,850.54",,"42,966.37",,"43,828.24",,"42,709.14",,"42,007.22",,"44,377.20",,"44,103.57",,"44,433.52",,"44,712.00",,"46,173.37",,"47,407.89",,"49,466.15",,"52,946.59",,"55,317.86",
Romania,"10,545.15",,"12,202.92",,"16,478.08",,"19,807.12",,"20,105.81",,"21,706.97",,"21,649.83",,"20,289.88",,"20,996.21",,"21,711.98",,"22,848.47",,"24,508.50",,"27,196.06",,"30,130.25",,"33,476.34",,"37,392.52",,"39,419.34",
Slovenia,"6,472.11",,"6,884.57",,"7,174.73",,"7,773.18",,"8,406.23",,"8,668.49",,"8,883.53",,"8,799.81",,"8,808.11",,"8,829.55",,"9,072.11",,"9,246.97",,"9,572.06",,"10,017.97",,"10,627.29",,"12,134.97",p,"12,950.40",p
Slovakia,"6,116.90",,"7,005.14",,"8,477.11",,"10,034.61",,"11,480.53",,"11,943.75",,"12,241.50",,"12,733.22",,"13,200.09",,"13,671.22",,"13,993.82",,"14,499.37",,"14,965.34",,"15,654.97",,"16,367.35",,"17,842.58",,"18,993.86",
Finland,"40,709.42",,"42,399.96",,"44,240.65",,"47,166.28",,"51,012.11",,"53,352.38",,"55,335.45",,"58,620.46",,"61,671.83",,"63,915.93",,"66,029.89",,"67,680.38",,"67,914.32",,"69,018.73",,"70,913.41",,"74,685.04",,"76,543.37",
Sweden,"90,465.19",,"93,868.97",,"95,716.59",,"96,331.02",,"92,011.47",,"104,163.97",,"113,186.45",,"122,338.21",,"129,241.52",,"126,267.41",,"129,206.61",,"134,404.74",,"135,115.26",,"130,699.24",,"129,847.48",,"138,526.92",,"147,909.13",p
Iceland,"2,797.42",,"2,785.86",,"3,162.57",,"2,240.46",,"2,178.60",,"2,304.87",,"2,496.56",,"2,595.83",,"2,703.07",,"3,068.74",,"3,459.05",,"4,134.88",,"5,089.25",,"5,287.08",,"5,485.14",,"5,740.31",,"6,337.84",
Norway,"55,649.18",,"58,164.54",,"61,848.05",,"65,735.17",,"67,466.59",,"77,764.25",,"84,971.99",,"93,202.58",,"94,478.15",,"93,644.20",,"92,872.83",,"93,402.73",,"96,553.41",,"97,111.19",,"99,005.35",,"97,442.57",,"108,449.00",
Switzerland,"80,024.43",,"80,614.56",,"79,722.50",,"84,194.64",,"94,502.65",,"105,523.22",,"120,407.45",,"127,001.80",,"129,692.83",,"134,174.68",,"157,580.26",,"159,052.44",,"159,610.34",,"156,078.93",,"167,406.35",,"192,783.63",,"191,416.94",
United Kingdom,"522,782.92",,"553,193.80",,"537,434.81",,"491,988.31",,"477,825.67",,"519,854.31",,"539,624.35",,"597,100.38",,"580,623.78",,"622,974.48",,"716,114.63",,"624,559.33",,"616,262.29",,"617,696.98",p,:,,:,,:,
