,countryname,year,electoral_dem_ind
575,Sweden,2005,0.915
576,Sweden,2006,0.915
577,Sweden,2007,0.916
578,Sweden,2008,0.916
579,Sweden,2009,0.916
580,Sweden,2010,0.915
581,Sweden,2011,0.917
582,Sweden,2012,0.919
583,Sweden,2013,0.917
584,Sweden,2014,0.916
585,Sweden,2015,0.915
586,Sweden,2016,0.914
587,Sweden,2017,0.914
588,Sweden,2018,0.909
589,Sweden,2019,0.901
590,Sweden,2020,0.901
801,Switzerland,2005,0.888
802,Switzerland,2006,0.888
803,Switzerland,2007,0.89
804,Switzerland,2008,0.898
805,Switzerland,2009,0.898
806,Switzerland,2010,0.898
807,Switzerland,2011,0.9
808,Switzerland,2012,0.905
809,Switzerland,2013,0.905
810,Switzerland,2014,0.905
811,Switzerland,2015,0.904
812,Switzerland,2016,0.905
813,Switzerland,2017,0.908
814,Switzerland,2018,0.908
815,Switzerland,2019,0.907
816,Switzerland,2020,0.901
1752,Russia,2005,0.317
1753,Russia,2006,0.316
1754,Russia,2007,0.312
1755,Russia,2008,0.305
1756,Russia,2009,0.307
1757,Russia,2010,0.303
1758,Russia,2011,0.296
1759,Russia,2012,0.277
1760,Russia,2013,0.275
1761,Russia,2014,0.264
1762,Russia,2015,0.264
1763,Russia,2016,0.26
1764,Russia,2017,0.261
1765,Russia,2018,0.263
1766,Russia,2019,0.26
1767,Russia,2020,0.258
1864,Albania,2005,0.52
1865,Albania,2006,0.551
1866,Albania,2007,0.556
1867,Albania,2008,0.552
1868,Albania,2009,0.553
1869,Albania,2010,0.551
1870,Albania,2011,0.551
1871,Albania,2012,0.547
1872,Albania,2013,0.524
1873,Albania,2014,0.527
1874,Albania,2015,0.527
1875,Albania,2016,0.529
1876,Albania,2017,0.54
1877,Albania,2018,0.527
1878,Albania,2019,0.517
1879,Albania,2020,0.536
2671,Poland,2005,0.882
2672,Poland,2006,0.88
2673,Poland,2007,0.875
2674,Poland,2008,0.889
2675,Poland,2009,0.889
2676,Poland,2010,0.889
2677,Poland,2011,0.891
2678,Poland,2012,0.892
2679,Poland,2013,0.893
2680,Poland,2014,0.885
2681,Poland,2015,0.875
2682,Poland,2016,0.728
2683,Poland,2017,0.69
2684,Poland,2018,0.688
2685,Poland,2019,0.684
2686,Poland,2020,0.613
3376,Portugal,2005,0.895
3377,Portugal,2006,0.9
3378,Portugal,2007,0.9
3379,Portugal,2008,0.896
3380,Portugal,2009,0.897
3381,Portugal,2010,0.898
3382,Portugal,2011,0.887
3383,Portugal,2012,0.888
3384,Portugal,2013,0.884
3385,Portugal,2014,0.884
3386,Portugal,2015,0.889
3387,Portugal,2016,0.889
3388,Portugal,2017,0.898
3389,Portugal,2018,0.899
3390,Portugal,2019,0.883
3391,Portugal,2020,0.886
6675,Kosovo,2005,0.513
6676,Kosovo,2006,0.513
6677,Kosovo,2007,0.512
6678,Kosovo,2008,0.508
6679,Kosovo,2009,0.514
6680,Kosovo,2010,0.529
6681,Kosovo,2011,0.5
6682,Kosovo,2012,0.51
6683,Kosovo,2013,0.516
6684,Kosovo,2014,0.587
6685,Kosovo,2015,0.644
6686,Kosovo,2016,0.642
6687,Kosovo,2017,0.572
6688,Kosovo,2018,0.654
6689,Kosovo,2019,0.674
6690,Kosovo,2020,0.661
11623,France,2005,0.879
11624,France,2006,0.879
11625,France,2007,0.882
11626,France,2008,0.889
11627,France,2009,0.889
11628,France,2010,0.889
11629,France,2011,0.89
11630,France,2012,0.893
11631,France,2013,0.894
11632,France,2014,0.895
11633,France,2015,0.895
11634,France,2016,0.895
11635,France,2017,0.892
11636,France,2018,0.883
11637,France,2019,0.874
11638,France,2020,0.872
11854,Germany,2005,0.897
11855,Germany,2006,0.907
11856,Germany,2007,0.907
11857,Germany,2008,0.907
11858,Germany,2009,0.902
11859,Germany,2010,0.9
11860,Germany,2011,0.904
11861,Germany,2012,0.903
11862,Germany,2013,0.899
11863,Germany,2014,0.892
11864,Germany,2015,0.89
11865,Germany,2016,0.889
11866,Germany,2017,0.893
