,Progress,Duration (in seconds),Recorded Date,Do we have your permission to record your responses to this survey?,What is your year of birth?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What best describes your employment status over the last three months?,List of Countries,Is there another country with which's culture you identify with?,What other countries' culture do you identify with?,Is there another country with which's culture you identify with?.1,What other countries' culture do you identify with?.1,What stance does this manifesto take on the justice system?,What stance does this manifesto take on the housing market?,What stance does this manifesto take on government managing?,What stance does this manifesto take on working population?,What stance does this manifesto take on the European Union / community?,What stance does this manifesto take on environmental protection?,What stance does this manifesto take on immigration?,What stance does this manifesto take on the economy?,"Some people talk about politics in terms of left, center and right. Where would you place yourself? - Political orientation"
0,100,305,2024-03-25 14:59:23,Yes,1997,Male,,Working full-time,Netherlands,No,,,,,,Negative,Very positive,,,,Positive,Left
1,100,252,2024-03-25 15:00:58,Yes,1996,Male,,Working full-time,Netherlands,No,,,,,,Very negative,,Negative,Positive,,,Left
2,100,660,2024-03-25 15:05:40,Yes,1999,Male,,Working full-time,Netherlands,No,,,,Positive,,Negative,,,Positive,,,Left
3,100,515,2024-03-25 17:19:39,Yes,1999,Male,,Working part-time,Netherlands,No,,,,,,Very negative,Unsure/difficult to say,Negative,,,,Extreme Left
4,100,437,2024-03-25 17:22:10,Yes,1996,Non-binary / third gender,,Working full-time,Netherlands,Yes,India,Yes,Suriname,,,,Negative,,Unsure/difficult to say,Very negative,,Extreme Left
5,100,14502,2024-03-25 18:57:02,Yes,1998,Non-binary / third gender,,Student,Netherlands,No,,,,,,Very negative,,,Positive,,Very positive,Extreme Left
6,100,1312,2024-03-25 21:42:45,Yes,1956,Female,,Working full-time,Netherlands,Yes,India,Yes,India,,,,Negative,Negative,Unsure/difficult to say,,,Center
7,100,277,2024-03-26 09:39:59,Yes,2005,Female,,Student,Netherlands,No,,,,,Negative,,,,Positive,Very negative,,Left
8,100,176,2024-03-26 10:52:09,Yes,2002,Male,,Student,Brazil,Yes,Israel,Yes,Spain,,,Negative,,Positive,,Very negative,,Center
9,100,311,2024-03-26 11:48:07,Yes,2003,Male,,Student,Cyprus,Yes,Belarus,No,,Positive,,Negative,,,Unsure/difficult to say,,,No Political Affiliation
10,100,125,2024-03-26 11:57:45,Yes,1999,Male,,Working full-time,Netherlands,No,,,,Unsure/difficult to say,Negative,Very negative,,,,,,Left Leaning
11,100,244,2024-03-26 19:22:31,Yes,2001,Male,,Working part-time,Netherlands,No,,,,,,,Negative,Positive,,Very negative,,Right Leaning
12,100,173,2024-03-26 22:39:15,Yes,2005,Male,,Student,Netherlands,No,,,,,,,Unsure/difficult to say,,Positive,Negative,,Left Leaning
13,100,522,2024-03-27 20:19:54,Yes,1970,Male,,Working full-time,Netherlands,No,,,,,,,,Positive,Positive,,Unsure/difficult to say,Right Leaning
14,86,317,2024-04-01 15:59:12,Yes,1991,Female,,Working full-time,Netherlands,No,,,,,,,,Unsure/difficult to say,Very positive,,,
15,79,103,2024-04-01 16:04:54,Yes,1998,Male,,Working full-time,Netherlands,No,,,,,,,Positive,,,,,
16,79,3352,2024-04-01 21:31:57,Yes,1999,Male,,Working full-time,Netherlands,No,,,,,,,,,Unsure/difficult to say,,,
17,96,1790,2024-04-01 21:44:23,Yes,1997,Prefer not to say,,Student,Netherlands,No,,,,,,Very negative,Unsure/difficult to say,,Unsure/difficult to say,,,Extreme Left
18,79,145,2024-04-02 10:58:28,Yes,1994,Female,,Working full-time,Italy,No,,,,,,,,,,Very negative,,
19,100,176,2024-04-02 11:02:41,Yes,2001,Female,,Student,Austria,No,,,,,,Negative,Very positive,,,Very negative,,Left
20,100,343,2024-04-02 11:11:22,Yes,2004,Female,,Student,Russian Federation,Yes,Lithuania,No,,Positive,,,,,Unsure/difficult to say,Unsure/difficult to say,,Right
21,100,384,2024-04-02 11:15:32,Yes,2003,Female,,Student,Italy,No,,,,,,Unsure/difficult to say,Negative,,,,Positive,Left
22,96,220,2024-04-02 13:17:41,Yes,1974,Female,,Working part-time,Netherlands,No,,,,,,Negative,Negative,,,Very negative,,Left Leaning
23,96,206,2024-04-02 13:22:42,Yes,2001,Female,,Other,Netherlands,No,,,,Negative,,,,Negative,,,Unsure/difficult to say,Left
24,100,597711,2024-04-02 13:29:12,Yes,2005,Male,,Working part-time,Netherlands,No,,,,,,,,Negative,,Very negative,Negative,Left Leaning
25,96,576,2024-04-02 13:48:21,Yes,1991,Female,,Working full-time,Netherlands,No,,,,Negative,,,Positive,Unsure/difficult to say,,,,Left
26,79,130,2024-04-02 14:51:52,Yes,2004,Female,,Student,Poland,Yes,Viet Nam,No,,,,,,,,,Positive,
27,100,220,2024-04-02 15:00:16,Yes,2003,Male,,Student,Germany,No,,,,,Unsure/difficult to say,Very negative,,,,,Negative,Left Leaning
28,100,190,2024-04-02 18:09:36,Yes,2004,Male,,Working part-time,France,Yes,United Kingdom of Great Britain and Northern Ireland,No,,,,,,Unsure/difficult to say,,Negative,Positive,Left Leaning
29,100,1090,2024-04-02 19:13:29,Yes,2000,Female,,Working full-time,France,No,,,,,,,Very negative,Unsure/difficult to say,,,Very positive,Left Leaning
30,79,395,2024-04-09 10:43:09,Yes,2000,Female,,Student,Germany,No,,,,Unsure/difficult to say,,,,,,,,
31,96,283,2024-04-09 11:08:59,Yes,1999,Male,,Working full-time,Germany,No,,,,Unsure/difficult to say,,,,,Very positive,Very negative,,No Political Affiliation
32,96,230,2024-04-09 11:19:41,Yes,2002,Female,,Working part-time,Spain,Yes,United Kingdom of Great Britain and Northern Ireland,Yes,United States of America,,,,Positive,,,Very negative,Unsure/difficult to say,Extreme Left
33,86,334,2024-04-09 12:32:12,Yes,1968,Female,,Other,Germany,No,,,,,Unsure/difficult to say,,,,Very positive,,,
34,79,74,2024-04-09 12:58:53,Yes,2002,Male,,Working part-time,Germany,No,,,,,,,,,,,Positive,
35,100,235,2024-04-09 14:54:30,Yes,2000,Male,,Working part-time,Italy,No,,,,,,,,,Positive,Very negative,Unsure/difficult to say,Center
36,100,568,2024-04-09 16:26:27,Yes,2003,Prefer not to say,,Student,Germany,No,,,,,Unsure/difficult to say,Negative,,,,,Very positive,Left
37,100,338,2024-04-11 12:40:40,Yes,2004,Male,,Working part-time,Canada,No,,,,,Negative,,Positive,,,,Very positive,Extreme Left
38,100,612,2024-04-11 12:50:38,Yes,2000,Female,,Student,Finland,No,,,,Unsure/difficult to say,,,,,Positive,,Unsure/difficult to say,Left
39,100,594,2024-04-11 13:01:12,Yes,2002,Female,,Working part-time,Poland,No,,,,,Positive,,,Unsure/difficult to say,,,Positive,Center
40,100,168,2024-04-11 13:17:50,Yes,2003,Male,,Student,Netherlands,No,,,,,,Very negative,,Positive,,Very negative,,Left Leaning
41,100,122,2024-04-11 14:13:57,Yes,2005,Male,,Student,Netherlands,Yes,Israel,No,,Very positive,Positive,,,Positive,,,,Left Leaning
42,100,212,2024-04-11 17:53:33,Yes,2005,Male,,Student,Ireland,Yes,United Kingdom of Great Britain and Northern Ireland,Yes,Netherlands,,,Very negative,,,,Very negative,Positive,Left
43,100,113,2024-04-15 11:12:24,Yes,2002,Male,,Working part-time,Lithuania,No,,,,Very positive,,,,Positive,,,Very positive,Left
44,96,218,2024-04-16 14:56:19,Yes,2002,Female,,Working part-time,South Korea,No,,,,Positive,Positive,Negative,,,,,,Left Leaning
45,79,273,2024-04-18 12:56:01,Yes,2005,Female,,Student,India,No,,,,,Unsure/difficult to say,,,,,,,
46,96,117,2024-04-18 13:06:59,Yes,1998,Female,,Student,India,Yes,Netherlands,Yes,United Arab Emirates,,,Negative,,,Positive,,Unsure/difficult to say,Left
47,79,7734,2024-04-18 13:52:34,Yes,2002,Female,,Student,Finland,Yes,Netherlands,No,,,,,Positive,,,,,
48,100,268,2024-04-20 14:53:51,Yes,1965,Male,,Other,Netherlands,Yes,Italy,No,,Positive,,,,,Positive,,Positive,Left Leaning
49,100,483,2024-04-20 14:57:30,Yes,1940,Male,,Retired,Netherlands,No,,,,Positive,,,,Very positive,Positive,,,Left
50,100,610,2024-04-20 18:39:36,Yes,1994,Male,,Working full-time,Netherlands,No,,,,Positive,Positive,,,,,,Very positive,Right
51,100,889,2024-04-20 20:57:45,Yes,1968,Female,,Working full-time,Netherlands,Yes,Italy,No,,Positive,Unsure/difficult to say,,,Unsure/difficult to say,,,,Left
52,100,161,2024-04-21 09:37:06,Yes,1971,Female,,Working full-time,Netherlands,No,,,,Positive,Very negative,,,,,Unsure/difficult to say,,Right
53,79,75,2024-04-21 16:38:07,Yes,2005,Female,,Working part-time,Poland,No,,,,,,Negative,,,,,,
