StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q21,Age,Gender,Gender_4_TEXT,Employment status,Nationality,Q14,Birth country,Q24,Q25,Q16,Q31,Q33,Q41,Q47,Q49,Q51,Q53,Q21_1
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do we have your permission to record your responses to this survey?,What is your year of birth?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What best describes your employment status over the last three months?,List of Countries,Is there another country with which's culture you identify with?,What other countries' culture do you identify with?,Is there another country with which's culture you identify with?,What other countries' culture do you identify with?,What stance does this manifesto take on the justice system?,What stance does this manifesto take on the housing market?,What stance does this manifesto take on government managing?,What stance does this manifesto take on working population?,What stance does this manifesto take on the European Union / community?,What stance does this manifesto take on environmental protection?,What stance does this manifesto take on immigration?,What stance does this manifesto take on the economy?,"Some people talk about politics in terms of left, center and right. Where would you place yourself? - Political orientation"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34""}","{""ImportId"":""QID1215151207_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID1215150807""}","{""ImportId"":""QID27""}","{""ImportId"":""QID26""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID41""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID24_1""}"
2024-03-25 14:54:16,2024-03-25 14:59:22,IP Address,100,305,True,2024-03-25 14:59:23,R_7BLDR9J1nPxvnSp,anonymous,EN,Yes,15-10-1997,Male,,Working full-time,Netherlands,No,,,,,,Negative,Very positive,,,,Positive,Left
2024-03-25 14:56:44,2024-03-25 15:00:57,IP Address,100,252,True,2024-03-25 15:00:58,R_8cAudnDP4HgPVVa,anonymous,EN,Yes,1996,Male,,Working full-time,Netherlands,No,,,,,,Very negative,,Negative,Positive,,,Left
2024-03-25 14:54:38,2024-03-25 15:05:39,IP Address,100,660,True,2024-03-25 15:05:40,R_8i3RXRCOw6oECHk,anonymous,EN,Yes,1999,Male,,Working full-time,Netherlands,No,,,,Positive,,Negative,,,Positive,,,Left
2024-03-25 17:11:03,2024-03-25 17:19:38,IP Address,100,515,True,2024-03-25 17:19:39,R_6eUINsXCSgnleDw,anonymous,EN,Yes,1999,Male,,Working part-time,Netherlands,No,,,,,,Very negative,Unsure/difficult to say,Negative,,,,Extreme Left
2024-03-25 17:14:52,2024-03-25 17:22:10,IP Address,100,437,True,2024-03-25 17:22:10,R_80fbYI6G66n8QZF,anonymous,EN,Yes,1996,Non-binary / third gender,,Working full-time,Netherlands,Yes,India,Yes,Suriname,,,,Negative,,Unsure/difficult to say,Very negative,,Extreme Left
2024-03-25 14:55:20,2024-03-25 18:57:02,IP Address,100,14502,True,2024-03-25 18:57:02,R_5e6i1kboBQi6k6d,anonymous,EN,Yes,1998,Non-binary / third gender,,Student,Netherlands,No,,,,,,Very negative,,,Positive,,Very positive,Extreme Left
2024-03-25 21:20:52,2024-03-25 21:42:45,IP Address,100,1312,True,2024-03-25 21:42:45,R_1mJ3vuj5UnYJAB3,anonymous,EN,Yes,1956,Female,,Working full-time,Netherlands,Yes,India,Yes,India,,,,Negative,Negative,Unsure/difficult to say,,,Center
2024-03-26 09:35:20,2024-03-26 09:39:58,IP Address,100,277,True,2024-03-26 09:39:59,R_469iKoEviHupfe4,anonymous,EN,Yes,2005,Female,,Student,Netherlands,No,,,,,Negative,,,,Positive,Very negative,,Left
2024-03-26 10:49:11,2024-03-26 10:52:08,IP Address,100,176,True,2024-03-26 10:52:09,R_1OuCMGEr7fOiybW,anonymous,EN,Yes,2002,Male,,Student,Brazil,Yes,Israel,Yes,Spain,,,Negative,,Positive,,Very negative,,Center
2024-03-26 11:42:55,2024-03-26 11:48:06,IP Address,100,311,True,2024-03-26 11:48:07,R_4zLPWWJludeSffj,anonymous,EN,Yes,2003,Male,,Student,Cyprus,Yes,Belarus,No,,Positive,,Negative,,,Unsure/difficult to say,,,No Political Affiliation
2024-03-26 11:55:38,2024-03-26 11:57:44,IP Address,100,125,True,2024-03-26 11:57:45,R_3Dx0ZbqCDJTreeJ,anonymous,EN,Yes,1999,Male,,Working full-time,Netherlands,No,,,,Unsure/difficult to say,Negative,Very negative,,,,,,Left Leaning
2024-03-26 19:18:26,2024-03-26 19:22:30,IP Address,100,244,True,2024-03-26 19:22:31,R_2Nxn1Dg3SZiaBUJ,anonymous,EN,Yes,2001,Male,,Working part-time,Netherlands,No,,,,,,,Negative,Positive,,Very negative,,Right Leaning
2024-03-26 22:36:21,2024-03-26 22:39:14,IP Address,100,173,True,2024-03-26 22:39:15,R_34qMSeUTzdSPZJz,anonymous,EN,Yes,2005,Male,,Student,Netherlands,No,,,,,,,Unsure/difficult to say,,Positive,Negative,,Left Leaning
2024-03-27 20:11:11,2024-03-27 20:19:53,IP Address,100,522,True,2024-03-27 20:19:54,R_2rxKUapqdhQL4N2,anonymous,EN,Yes,1970,Male,,Working full-time,Netherlands,No,,,,,,,,Positive,Positive,,Unsure/difficult to say,Right Leaning
2024-03-25 14:53:53,2024-03-25 14:59:11,IP Address,86,317,False,2024-04-01 15:59:12,R_5SkvjTps3SRMICs,anonymous,EN,Yes,1991,Female,,Working full-time,Netherlands,No,,,,,,,,Unsure/difficult to say,Very positive,,,
2024-03-25 15:03:07,2024-03-25 15:04:51,IP Address,79,103,False,2024-04-01 16:04:54,R_31pob6n3DYZdHqb,anonymous,EN,Yes,1998,Male,,Working full-time,Netherlands,No,,,,,,,Positive,,,,,
2024-03-25 19:36:04,2024-03-25 20:31:56,IP Address,79,3352,False,2024-04-01 21:31:57,R_8GQazk5roZul2mi,anonymous,EN,Yes,1999,Male,,Working full-time,Netherlands,No,,,,,,,,,Unsure/difficult to say,,,
